Clinic_ID,Clinic_Name,Clinic_Type,Contact_Name,Phone,Email,Parent_Company,Interaction_Date,Product_Interest,Follow_Up,Lead_Source,Industry,Status,Last_Contacted,Clinic_Address,Region,Rep_Name,CRM_Created_Date,Notes
C018,"Henderson, Smith and Harris Clinic",Specialty,James Stewart,515.286.1294x034,kelleymichael@bolton.com,WellPaws Holdings,10-05-2025,Post-Surgery Antibiotics,Yes,Referral,Animal Hospital,Closed - Converted,27-04-2025,"748 Sweeney Cliffs, Rachelmouth, ND 81064",Cork,Christopher Summers Jr.,24-02-2025,Campaign value fine probably check citizen sell law bit opportunity west summer loss fill anyone.
C019,"Rhodes, Olsen and Joseph Clinic",General,Timothy Flores,+1-899-478-2712x505,david12@miller.com,GlobalVet Services,15-04-2025,Flea & Tick Prevention Kits,Yes,Referral,Pet Grooming,Closed - Not Converted,14-04-2025,"8402 James Roads Apt. 424, Jamesberg, CT 16946",Galway,Katherine Davis,13-04-2025,Song whom kid week different will trouble meeting short bank happy.
C020,Miller-Foster Clinic,General,Tyler Trevino,001-420-299-0479,bfritz@hotmail.com,WellPaws Holdings,22-04-2025,Joint Support Supplements,Yes,Email Campaign,Veterinary,New,15-04-2025,"USNV Cooper, FPO AA 34576",Dublin,Erik Vance,18-03-2025,Today region lot speak they boy after thought the when Mrs south where.
C021,Davis LLC Clinic,Emergency,Steven Palmer,145-948-6703,ojohnson@smith.org,EquiPet Enterprises,02-05-2025,Post-Surgery Antibiotics,No,Trade Show,Pet Grooming,Closed - Converted,05-05-2025,"12213 Johnson Mountain Apt. 603, Samanthahaven, OK 16545",Limerick,Erik Vance,13-12-2024,Room need father professor woman end soon.
C022,Gibson LLC Clinic,General,Mark Mills,+1-740-087-2711x09106,danny33@yahoo.com,PetPrime Group,21-04-2025,Canine Vaccines,Yes,Referral,Pet Grooming,New,25-04-2025,"Unit 8013 Box 3393, DPO AP 06302",Galway,Elizabeth Green,16-12-2024,Them billion mention claim cell among some material exactly stage foot central including director involve.
C023,Moreno LLC Clinic,General,Melissa Wright,101.276.7279x17523,annemalone@yahoo.com,VetCare Holdings,23-04-2025,Feline Vaccines,Yes,Trade Show,Pet Grooming,Closed - Not Converted,19-04-2025,"41291 Cordova Tunnel Suite 814, East Cherylfort, CA 28041",Limerick,Anna Davis,14-05-2024,Detail training edge financial senior travel visit reach.
C024,Arellano and Sons Clinic,Emergency,Adrian Mitchell,9477931489,tiffany44@hotmail.com,EquiPet Enterprises,05-05-2025,Diagnostic Equipment,No,Referral,Veterinary,Closed - Not Converted,16-04-2025,"705 Mathis Port Suite 011, Lake Emily, FL 19655",Dublin,Brandon Nguyen,21-10-2024,Current fish throw respond class return full benefit condition usually politics.
C025,Brown Ltd Clinic,Specialty,Christopher Sanchez,(990)331-9723x1344,valeriewalsh@ritter.com,CompanionCare Inc.,24-04-2025,Post-Surgery Antibiotics,No,Referral,Veterinary,New,23-04-2025,"USS Wise, FPO AE 15416",Cork,Ricardo Russell,17-10-2024,Your economic plant now agency lose difficult indicate many risk our attorney seem.
C026,Davis-Graham Clinic,General,Valerie Franco,8589964654,jenniferbrooks@yahoo.com,Independent Clinics,26-04-2025,Canine Vaccines,No,Web Form,Veterinary,Closed - Converted,20-04-2025,"USS Phillips, FPO AA 30901",Limerick,Katie Curtis,31-05-2024,Summer run really him term happy project fine positive increase quite past.
C027,Wilson-Smith Clinic,General,Danielle Johnson,178-870-9753,davistonya@martinez.com,EquiPet Enterprises,23-04-2025,Feline Vaccines,No,Email Campaign,Veterinary,New,28-04-2025,"79179 Katherine Villages Suite 512, Lake Wendyhaven, OR 92242",Waterford,Brandon Nguyen,14-03-2025,Develop and not page general herself capital.
C028,"Johnson, Baker and Robinson Clinic",General,Donald Hammond,+1-145-398-3652x88892,berrydebra@gmail.com,CompanionCare Inc.,09-05-2025,Pain Relief Medication,No,Web Form,Veterinary,New,29-04-2025,"767 Meyers Mall, Lake Matthewbury, WY 65263",Cork,Erik Vance,12-07-2024,Year activity win peace player every understand near throw reality scene trip return third.
C029,Adams-Fuller Clinic,General,Michael Solis,(654)894-3811x3646,nicole85@jimenez-gallagher.com,Independent Clinics,14-04-2025,Post-Surgery Antibiotics,Yes,Trade Show,Veterinary,Closed - Not Converted,26-04-2025,"59372 Davis Harbor Apt. 265, New Wayne, DE 42116",Waterford,Brandon Nguyen,10-03-2025,Congress board how true poor stand but early capital party room.
C030,Sandoval PLC Clinic,Emergency,Robert Hudson,+1-228-405-3304x18039,david05@hotmail.com,CompanionCare Inc.,08-05-2025,Flea & Tick Prevention Kits,No,Web Form,Veterinary,Working,18-04-2025,"1852 Rodriguez Curve, Clarkmouth, RI 71505",Waterford,Katherine Davis,26-04-2025,Meet thought everybody ago offer religious star.
C031,"Buchanan, Maynard and Arnold Clinic",General,Wendy Hester,-5693,nichole26@hotmail.com,GlobalVet Services,24-04-2025,Pain Relief Medication,No,Trade Show,Pet Grooming,Closed - Converted,16-04-2025,"97121 Tiffany Extension Suite 016, Palmerborough, UT 40456",Limerick,Christopher Summers Jr.,08-09-2024,Professional deal network task possible team generation allow four with ground step garden sometimes.
C032,Cole-Ramos Clinic,Specialty,Michael Lee,001-700-881-2813x02881,ann70@bennett-johnson.net,Canine & Feline Group,27-04-2025,Post-Surgery Antibiotics,No,Referral,Veterinary,Closed - Converted,12-04-2025,"8898 Edwards Curve Apt. 718, Rangelton, SC 71668",Limerick,Elizabeth Green,13-02-2025,Cover book suddenly relationship country cell decide commercial professional.
C033,"Scott, Pitts and Petersen Clinic",General,Rebecca Ramirez,001-355-149-1355,masonsamuel@morton.com,Canine & Feline Group,02-05-2025,Flea & Tick Prevention Kits,Yes,Referral,Animal Hospital,Closed - Converted,04-05-2025,"749 Torres Lane, West Lawrencemouth, WY 79353",Dublin,Katherine Davis,13-02-2025,Food whole dog make financial security own who director computer eye into.
C034,"Smith, Lewis and Williams Clinic",General,Michael Smith,(112)932-7482,donald75@petersen-vang.org,CompanionCare Inc.,08-05-2025,Joint Support Supplements,Yes,Web Form,Animal Hospital,Closed - Not Converted,13-04-2025,"856 Hill Pine Apt. 571, Samanthaberg, AL 25526",Galway,Ricardo Russell,20-01-2025,Contain hold young offer movement also range line.
C035,"Alvarado, Ferguson and Stewart Clinic",Specialty,Melissa Freeman,302-153-0458x2335,jimenezstephanie@smith.net,WellPaws Holdings,07-05-2025,Flea & Tick Prevention Kits,No,Email Campaign,Veterinary,Closed - Not Converted,12-04-2025,"82720 Todd Cliffs Suite 268, Lewisbury, KY 29186",Dublin,Anna Davis,15-05-2024,If evidence its thus it tend produce fire take process.
C036,Deleon LLC Clinic,Specialty,Jason Davis,761.415.3271x64955,trevinonoah@williams-snyder.info,PetPrime Group,12-04-2025,Flea & Tick Prevention Kits,No,Referral,Pet Grooming,New,12-04-2025,"133 Cain Falls Apt. 037, South Gloriaburgh, MO 87772",Cork,Katie Curtis,20-09-2024,Impact few administration although those probably current effort difficult try minute that decision still.
C037,"Moss, Decker and Jackson Clinic",General,Melissa Golden,001-145-345-5461x48734,pmassey@gmail.com,Zoovet Corporates,20-04-2025,Pain Relief Medication,No,Referral,Veterinary,New,11-05-2025,"59362 Banks Cove, Loriburgh, OK 43299",Limerick,Katherine Davis,27-04-2025,Remember option pass state teach add determine.
C038,"Alexander, Noble and Jones Clinic",Emergency,Elizabeth White,+1-906-048-1457x9943,andrew81@parker.com,VetCare Holdings,10-05-2025,Deworming Tablets,Yes,Phone Inquiry,Animal Hospital,New,04-05-2025,"8827 Hawkins Knolls Suite 934, Galvanburgh, PA 55440",Galway,Ricardo Russell,23-01-2025,Tax buy party brother owner central notice.
C039,Jones-Norman Clinic,Specialty,Gregory Barber,451-081-1310x692,andrewhudson@mueller.com,PetPrime Group,21-04-2025,Feline Vaccines,Yes,Web Form,Animal Hospital,Closed - Not Converted,05-05-2025,"5761 Newman Point, East James, AR 22133",Galway,Erik Vance,05-08-2024,Dream newspaper charge since answer sense feeling wait seem fact open use individual talk fund.
C040,Durham Group Clinic,Specialty,Elizabeth Fernandez,001-275-215-9243x7181,randyortiz@hotmail.com,Animal Health Partners,27-04-2025,Flea & Tick Prevention Kits,No,Phone Inquiry,Veterinary,Closed - Converted,22-04-2025,"604 Barnes Burg, North Nancyberg, MO 49393",Waterford,Ricardo Russell,06-06-2024,Officer between consider admit thousand about threat.
C041,Gonzales and Sons Clinic,Specialty,Rebecca Kennedy,001-500-656-9893x1666,susanmueller@chavez-franklin.com,PetPrime Group,19-04-2025,Flea & Tick Prevention Kits,Yes,Referral,Veterinary,Closed - Not Converted,16-04-2025,"25856 Morris Heights, North Monicaton, UT 44458",Waterford,Christopher Summers Jr.,15-12-2024,Nation trade word tonight each make represent just finish tough.
C042,"York, Johnson and Hayes Clinic",General,John Davis,(911)209-5864,dereklee@hotmail.com,GlobalVet Services,25-04-2025,Joint Support Supplements,Yes,Referral,Pet Grooming,Closed - Not Converted,16-04-2025,"6930 Haley Island Suite 215, Lopezside, DE 33940",Cork,Anna Davis,22-01-2025,List job board window red big under inside seek none provide half begin.
C043,"Krueger, Contreras and Arias Clinic",Specialty,Karen Wood,046-664-6549x9083,christopher46@roberts.com,PetPrime Group,03-05-2025,Feline Vaccines,Yes,Web Form,Animal Hospital,Closed - Not Converted,14-04-2025,"7196 Smith Walk, New Brittany, KY 28435",Cork,Ricardo Russell,12-09-2024,Expect north their whole south produce authority set policy call star sister list.
C044,Green and Sons Clinic,General,Sharon Melendez,5961020314,cooperjennifer@nunez.com,GlobalVet Services,26-04-2025,Dental Cleaning Kits,Yes,Web Form,Animal Hospital,Closed - Converted,01-05-2025,"5136 Raymond Freeway, New Steven, NH 48164",Dublin,Katherine Davis,17-09-2024,Another education treatment address because term by a book under food direction stage girl.
C045,Castillo PLC Clinic,Specialty,Jocelyn Acosta,001-023-379-4924x4520,robertrowe@herman.net,VetCare Holdings,02-05-2025,Diagnostic Equipment,Yes,Web Form,Pet Grooming,Closed - Not Converted,29-04-2025,"980 Daniel Canyon Apt. 071, South Margaretfort, AR 75052",Cork,Elizabeth Green,22-07-2024,Sit level arrive together pattern physical all television answer size character turn this fund actually.
C046,Scott LLC Clinic,Emergency,Troy Valentine,8246760608,wayne73@yahoo.com,WellPaws Holdings,13-04-2025,Joint Support Supplements,Yes,Web Form,Animal Hospital,Closed - Converted,06-05-2025,"1656 Matthew Rapid Suite 732, East Cliffordburgh, KY 74366",Galway,Brandon Nguyen,30-07-2024,Dinner door level great above concern play author.
C047,Cabrera-Johnson Clinic,Emergency,Austin Coleman,001-730-710-3791x9177,martinezjames@hotmail.com,GlobalVet Services,23-04-2025,Diagnostic Equipment,Yes,Referral,Pet Grooming,New,22-04-2025,"532 Brown Lake Suite 291, South Christopher, NM 89618",Cork,Elizabeth Green,07-10-2024,Edge station computer end wall far remain together process hit gun game relationship administration risk year.
C048,"Lambert, Martin and Cherry Clinic",Emergency,William Weber,775.658.3578,anthonywhite@wood.org,CompanionCare Inc.,29-04-2025,Diagnostic Equipment,No,Web Form,Veterinary,Working,24-04-2025,"802 James Hills Apt. 540, Ronaldborough, TN 00994",Galway,Katherine Davis,28-05-2024,Unit message rate push smile between response.
C049,Thompson-Miller Clinic,Specialty,Erik Le,+1-636-051-4886x4009,rodney39@gmail.com,Independent Clinics,02-05-2025,Canine Vaccines,Yes,Email Campaign,Pet Grooming,Working,15-04-2025,"6109 Nancy Roads, North Christinestad, NY 26996",Limerick,Katie Curtis,25-02-2025,Rock bit yard in night rise gun radio under article defense difficult rise.
C050,Lyons-Freeman Clinic,Specialty,Jessica Mayer,2784635468,nparker@pitts-pena.net,PetWell Group,25-04-2025,Joint Support Supplements,No,Phone Inquiry,Veterinary,New,03-05-2025,"1640 Norris Lock, West Davidton, IN 77970",Limerick,Anna Davis,26-09-2024,Onto participant front machine medical draw improve direction audience small.
C051,"Newton, Turner and Jones Clinic",Emergency,Sarah Griffith,834-396-6678,kingdaniel@thompson-smith.info,Canine & Feline Group,25-04-2025,Deworming Tablets,No,Referral,Animal Hospital,Closed - Converted,06-05-2025,"00679 Lisa Stream Suite 623, Schneiderburgh, NC 13862",Waterford,Elizabeth Green,25-11-2024,Thought usually of sea realize entire at since real music administration draw summer film run.
C052,Lewis PLC Clinic,Specialty,Nicole Wilson,570.358.5602,phill@peters-wilson.com,Independent Clinics,22-04-2025,Deworming Tablets,Yes,Referral,Pet Grooming,New,17-04-2025,"7001 Reyes Union Apt. 283, Johnshire, DE 75525",Cork,Bryan Zimmerman,23-04-2025,Up him reach ask according marriage though any responsibility of.
C053,"Koch, Smith and Williamson Clinic",Specialty,Dustin Cannon,153-189-3458,tuckerlori@hotmail.com,PetPrime Group,21-04-2025,Diagnostic Equipment,Yes,Phone Inquiry,Animal Hospital,Closed - Converted,24-04-2025,"81949 Cole Drive Suite 962, West Sabrina, OK 65399",Cork,Erik Vance,27-04-2025,Address west general feel such wind worry suddenly series yet.
C054,Patel Group Clinic,General,Mary Wright,001-990-325-0363x7428,joel21@gray.com,Canine & Feline Group,25-04-2025,Joint Support Supplements,No,Email Campaign,Pet Grooming,Closed - Converted,14-04-2025,"8493 Stephenson Pike, East Brittney, KY 23833",Galway,Katherine Davis,20-02-2025,Some ready somebody almost fine general day gun human everyone cup share.
C055,West LLC Clinic,Emergency,Brian Wolfe,995.361.1686x867,stevenlawson@reynolds.com,Animal Health Partners,29-04-2025,Deworming Tablets,No,Email Campaign,Animal Hospital,Closed - Not Converted,22-04-2025,"020 Smith Cove, Lake Dennis, MN 64378",Dublin,Matthew Gonzales,15-09-2024,Building effort six structure music president answer strategy cultural himself wrong them part investment.
C056,Griffin Inc Clinic,Specialty,Richard Thompson,886.494.9010x6832,michelle14@hotmail.com,VetCare Holdings,14-04-2025,Flea & Tick Prevention Kits,Yes,Email Campaign,Pet Grooming,Closed - Converted,17-04-2025,"91076 Cynthia Glen Suite 194, Whiteport, NC 90464",Cork,Katherine Davis,20-06-2024,Radio student choose across brother perhaps dark win church south.
C057,Davis LLC Clinic,General,John Ward,(898)544-2717,taylorwendy@molina.com,WellPaws Holdings,20-04-2025,Feline Vaccines,Yes,Email Campaign,Animal Hospital,New,15-04-2025,"7929 Hughes Parkways Suite 386, Lewisview, UT 03333",Cork,Matthew Gonzales,17-11-2024,It cup without hear religious skill rich common.
C058,Melendez-Griffith Clinic,Emergency,Lauren Sullivan,(630)842-4372x663,bkennedy@waters.com,Zoovet Corporates,05-05-2025,Feline Vaccines,Yes,Email Campaign,Veterinary,New,07-05-2025,"1283 Brown Run, New Christopher, NE 88908",Dublin,Bryan Zimmerman,21-05-2024,Show become look place turn trial religious simple player kind before challenge could economic leg.
C059,Williams PLC Clinic,Specialty,Margaret Jefferson,8878035481,tranlogan@mitchell.com,EquiPet Enterprises,22-04-2025,Post-Surgery Antibiotics,Yes,Phone Inquiry,Pet Grooming,New,21-04-2025,"68539 Barrera Spurs, Lake Jacquelinehaven, IN 43568",Dublin,Matthew Gonzales,03-05-2025,Him lose hope scene surface learn painting wear east appear on me offer.
C060,Cox-Forbes Clinic,Emergency,Lisa Mann,001-930-173-4497x309,ygomez@lawson.net,Canine & Feline Group,16-04-2025,Post-Surgery Antibiotics,Yes,Trade Show,Veterinary,New,29-04-2025,"Unit 9295 Box 4977, DPO AE 77275",Dublin,Ricardo Russell,04-11-2024,Keep sound way reveal relationship should city ball red despite go thus.
C061,"Fuentes, Mcgrath and Robinson Clinic",General,Hunter Mcclain,291-134-8024x1118,shannon79@gmail.com,Animal Health Partners,08-05-2025,Dental Cleaning Kits,Yes,Phone Inquiry,Pet Grooming,Closed - Not Converted,30-04-2025,"08987 Hopkins Flat, West Jeffrey, OR 47900",Waterford,Elizabeth Green,09-01-2025,Wall value develop onto card population sense son adult myself commercial audience might doctor.
C062,"Contreras, Brock and Park Clinic",General,Regina Ford,945-186-5965x7973,michaeljohnson@gmail.com,PetWell Group,11-05-2025,Joint Support Supplements,Yes,Trade Show,Pet Grooming,Working,30-04-2025,"32969 Lewis Spur Suite 335, West Michelle, WI 47200",Dublin,Katie Curtis,11-01-2025,Rock oil six theory back soon me anyone good seek TV.
C063,Roberts-Price Clinic,General,Amy Evans,199.235.1970x047,ibarnes@yahoo.com,VetCare Holdings,12-04-2025,Post-Surgery Antibiotics,Yes,Trade Show,Animal Hospital,Working,21-04-2025,"811 Christopher Way, Danielchester, OK 38592",Waterford,Erik Vance,26-07-2024,Production responsibility political yeah throw ready similar study see.
C064,Mills-Villa Clinic,General,Nicole Johnson,606-641-8820x45969,tommyrowe@kelley-cox.com,EquiPet Enterprises,23-04-2025,Diagnostic Equipment,Yes,Referral,Animal Hospital,Closed - Not Converted,13-04-2025,"9043 Murray Lake, Lake Andrew, KY 48070",Dublin,Katie Curtis,02-03-2025,Teach list resource effort class community we song yourself model camera huge treat.
C065,Thompson-Patterson Clinic,Emergency,Linda Holmes,+1-570-822-9482x3382,xspears@gmail.com,Independent Clinics,27-04-2025,Feline Vaccines,Yes,Trade Show,Animal Hospital,Closed - Converted,04-05-2025,"05159 Jeremy Mills, Ericafort, NE 00777",Waterford,Katie Curtis,10-05-2025,Recognize room blood big main benefit concern example.
C066,"Miller, Thomas and Walker Clinic",General,Mr. Justin Cabrera,001-901-637-3460x32509,ydavis@scott.com,GlobalVet Services,21-04-2025,Flea & Tick Prevention Kits,No,Web Form,Veterinary,New,14-04-2025,"760 Rebekah Gateway Apt. 194, Brianland, LA 22583",Limerick,Ricardo Russell,21-07-2024,After help pretty miss score range item agree.
C067,"Nelson, King and Wallace Clinic",Emergency,Maria Gillespie,(788)622-0883x09569,brian17@gmail.com,PetWell Group,12-04-2025,Flea & Tick Prevention Kits,Yes,Referral,Veterinary,New,09-05-2025,"381 Juan Burgs, Annton, TX 27501",Galway,Brandon Nguyen,02-09-2024,Director available almost development add dream deep nor.
C068,Anderson-Fields Clinic,General,Rodney Bradley,001-572-144-1808x434,howellkimberly@hotmail.com,Canine & Feline Group,29-04-2025,Deworming Tablets,No,Web Form,Animal Hospital,Working,18-04-2025,"0040 Smith Mall, South Danielberg, WV 43418",Galway,Ricardo Russell,10-06-2024,Put participant may student democratic father not.
C069,"Vaughn, Jordan and Dunn Clinic",General,Ryan Baldwin,228-390-4021,eporter@gmail.com,Canine & Feline Group,29-04-2025,Pain Relief Medication,No,Email Campaign,Pet Grooming,Closed - Converted,03-05-2025,"Unit 0210 Box 8936, DPO AP 40608",Dublin,Katherine Davis,06-03-2025,Manager cause really actually help professor institution gun heart name evening citizen.
C070,"Atkinson, Molina and Murray Clinic",Specialty,Courtney Brewer,(229)865-1712x529,pbowen@dunn.biz,WellPaws Holdings,15-04-2025,Pain Relief Medication,Yes,Email Campaign,Animal Hospital,New,13-04-2025,"2161 Hicks Turnpike Suite 686, Gregorystad, AL 50518",Waterford,Katherine Davis,16-11-2024,Degree cost improve radio town next man officer rather until human nearly.
C071,Hernandez-Hamilton Clinic,Emergency,Michael Mays,633.471.2689x51559,xenglish@little.com,CompanionCare Inc.,08-05-2025,Feline Vaccines,Yes,Phone Inquiry,Pet Grooming,Working,13-04-2025,"65002 Erika Views Suite 853, Lake Ginamouth, OK 23711",Limerick,Erik Vance,03-09-2024,Back sound day piece book late address chance general result up commercial when perhaps with.
C072,Collins Inc Clinic,Specialty,Sarah Ward,321-421-4561,adamsjennifer@hotmail.com,PetWell Group,01-05-2025,Deworming Tablets,No,Email Campaign,Veterinary,New,04-05-2025,"407 Kimberly Square, Carolburgh, TX 69984",Galway,Elizabeth Green,31-12-2024,Why south upon about analysis than significant.
C073,"Meyer, Moyer and Wade Clinic",Emergency,Jason Dawson,248.077.4319x4598,ethan12@young.com,Independent Clinics,07-05-2025,Post-Surgery Antibiotics,Yes,Trade Show,Animal Hospital,Closed - Not Converted,12-04-2025,"227 Martin Street Suite 800, New Shanechester, LA 86130",Dublin,Bryan Zimmerman,06-09-2024,College about player thus once strategy each memory surface kid throw information could quite military.
C074,"Hudson, Davidson and Barnes Clinic",Specialty,Kayla Meza,360-156-8141x86432,harpersheila@gmail.com,Independent Clinics,29-04-2025,Joint Support Supplements,Yes,Email Campaign,Animal Hospital,New,15-04-2025,"52016 Miller Junction, Rachelville, MA 92069",Waterford,Matthew Gonzales,06-04-2025,Final cost election change white significant laugh chair stay.
C075,"Evans, Holt and Hurley Clinic",General,Frank Gonzalez,101.259.5400x996,sabrina70@cox-washington.com,WellPaws Holdings,25-04-2025,Diagnostic Equipment,Yes,Trade Show,Veterinary,Working,21-04-2025,"75882 Wells Passage Suite 928, Robertmouth, AL 61415",Limerick,Brandon Nguyen,07-09-2024,Foreign material night entire after tell wonder term relationship long moment here those decade address.
C076,Golden and Sons Clinic,Emergency,George Wyatt,091.338.9118,margaret44@willis-knight.com,GlobalVet Services,07-05-2025,Joint Support Supplements,No,Web Form,Pet Grooming,Working,10-05-2025,"300 Mejia Corners, Port Stacy, WA 47628",Galway,Erik Vance,01-12-2024,Memory lose according phone need learn in threat defense mention behavior.
C077,"Hunt, Gray and Gonzalez Clinic",Emergency,Sandra Wolfe,531.575.4263x8999,james82@yahoo.com,Animal Health Partners,19-04-2025,Post-Surgery Antibiotics,No,Web Form,Veterinary,Closed - Converted,17-04-2025,"606 Stephen Well, Tammyland, MN 65506",Waterford,Anna Davis,24-11-2024,Write economy finally theory pass company unit sing thank.
